IP,Timestamp,Request,Status,Size
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.xbb HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.ini HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.signature HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.sh HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.sys HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.cgi HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.password HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.csp HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.nsconfig HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.xslt HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.exe|dir HTTP/1.1,403,303
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.se HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.phtml HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.it HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.no HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.idc HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.asp HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.jse HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.var HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.bas HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.prf HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.inc HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.UploadServlet HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.ml HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.backup HTTP/1.1,404,300
